Country,year,value,group
Madagascar,2002,230,low-income
Malawi,2002,160,low-income
Mali,2002,250,low-income
Mozambique,2002,230,low-income
Nepal,2002,240,low-income
Niger,2002,170,low-income
Rwanda,2002,210,low-income
Sierra Leone,2002,220,low-income
Tajikistan,2002,170,low-income
Tanzania,2002,310,low-income
Togo,2002,260,low-income
Uganda,2002,240,low-income
Zimbabwe,2002,470,low-income
Bangladesh,2003,400,low-income
Benin,2003,400,low-income
Burkina Faso,2003,290,low-income
Burundi,2003,120,low-income
Cambodia,2003,350,low-income
Cen. African Rep.,2003,250,low-income
Chad,2003,210,low-income
Comoros,2003,470,low-income
"Congo, Dem. Rep.",2003,110,low-income
Eritrea,2003,170,low-income
Ethiopia,2003,110,low-income
Gambia,2003,420,low-income
Guinea,2003,320,low-income
Guinea-Bissau,2003,180,low-income
Kenya,2003,410,low-income
Kyrgyz Rep.,2003,340,low-income
Liberia,2003,80,low-income
Madagascar,2003,280,low-income
Malawi,2003,190,low-income
Mali,2003,310,low-income
Mozambique,2003,230,low-income
Nepal,2003,260,low-income
Niger,2003,190,low-income
Rwanda,2003,200,low-income
Sierra Leone,2003,300,low-income
Tajikistan,2003,210,low-income
Tanzania,2003,330,low-income
Togo,2003,290,low-income
Uganda,2003,240,low-income
Zimbabwe,2003,410,low-income
Afghanistan,2004,210,low-income
Bangladesh,2004,430,low-income
Benin,2004,470,low-income
Burkina Faso,2004,340,low-income
Burundi,2004,120,low-income
Cambodia,2004,400,low-income
Cen. African Rep.,2004,300,low-income
Chad,2004,340,low-income
Comoros,2004,560,low-income
"Congo, Dem. Rep.",2004,120,low-income
Eritrea,2004,200,low-income
Ethiopia,2004,130,low-income
Gambia,2004,430,low-income
Guinea,2004,360,low-income
Guinea-Bissau,2004,250,low-income
Haiti,2004,370,low-income
Kenya,2004,460,low-income
Kyrgyz Rep.,2004,400,low-income
Liberia,2004,90,low-income
Madagascar,2004,290,low-income
Malawi,2004,220,low-income
Mali,2004,380,low-income
Mozambique,2004,260,low-income
Nepal,2004,290,low-income
Niger,2004,220,low-income
Rwanda,2004,220,low-income
Sierra Leone,2004,300,low-income
Tajikistan,2004,270,low-income
Tanzania,2004,360,low-income
Togo,2004,330,low-income
Uganda,2004,270,low-income
Zimbabwe,2004,430,low-income
Afghanistan,2005,250,low-income
Bangladesh,2005,470,low-income
Benin,2005,530,low-income
Burkina Faso,2005,410,low-income
Burundi,2005,130,low-income
Cambodia,2005,460,low-income
Cen. African Rep.,2005,340,low-income
Chad,2005,420,low-income
Comoros,2005,650,low-income
"Congo, Dem. Rep.",2005,130,low-income
Eritrea,2005,230,low-income
Ethiopia,2005,160,low-income
Gambia,2005,410,low-income
Guinea,2005,340,low-income
Guinea-Bissau,2005,400,low-income
Haiti,2005,410,low-income
Kenya,2005,520,low-income
Kyrgyz Rep.,2005,450,low-income
Liberia,2005,120,low-income
Madagascar,2005,290,low-income
Malawi,2005,220,low-income
Mali,2005,440,low-income
Mozambique,2005,290,low-income
Nepal,2005,320,low-income
Niger,2005,250,low-income
Rwanda,2005,260,low-income
Sierra Leone,2005,310,low-income
Tajikistan,2005,320,low-income
Tanzania,2005,380,low-income
Togo,2005,370,low-income
Uganda,2005,290,low-income
Zimbabwe,2005,430,low-income
Afghanistan,2006,270,low-income
Bangladesh,2006,490,low-income
Benin,2006,560,low-income
Burkina Faso,2006,440,low-income
Burundi,2006,140,low-income
Cambodia,2006,520,low-income
Cen. African Rep.,2006,360,low-income
Chad,2006,450,low-income
Comoros,2006,670,low-income
"Congo, Dem. Rep.",2006,140,low-income
Eritrea,2006,240,low-income
Ethiopia,2006,180,low-income
Gambia,2006,420,low-income
Guinea,2006,300,low-income
Guinea-Bissau,2006,400,low-income
Haiti,2006,480,low-income
Kenya,2006,570,low-income
Kyrgyz Rep.,2006,500,low-income
Liberia,2006,140,low-income
Madagascar,2006,280,low-income
Malawi,2006,220,low-income
Mali,2006,470,low-income
Mozambique,2006,300,low-income
Nepal,2006,350,low-income
Niger,2006,270,low-income
Rwanda,2006,300,low-income
Sierra Leone,2006,330,low-income
Tajikistan,2006,370,low-income
Tanzania,2006,390,low-income
Togo,2006,390,low-income
Uganda,2006,310,low-income
Zimbabwe,2006,440,low-income
Afghanistan,2007,330,low-income
Bangladesh,2007,510,low-income
Benin,2007,600,low-income
Burkina Faso,2007,450,low-income
Burundi,2007,160,low-income
Cambodia,2007,580,low-income
Cen. African Rep.,2007,390,low-income
Chad,2007,490,low-income
Comoros,2007,690,low-income
"Congo, Dem. Rep.",2007,150,low-income
Eritrea,2007,240,low-income
Ethiopia,2007,220,low-income
Gambia,2007,460,low-income
Guinea,2007,310,low-income
Guinea-Bissau,2007,440,low-income
Haiti,2007,550,low-income
Kenya,2007,650,low-income
Kyrgyz Rep.,2007,610,low-income
Liberia,2007,160,low-income
Madagascar,2007,330,low-income
Malawi,2007,250,low-income
Mali,2007,500,low-income
Mozambique,2007,330,low-income
Nepal,2007,380,low-income
Niger,2007,280,low-income
Rwanda,2007,350,low-income
Sierra Leone,2007,370,low-income
Tajikistan,2007,440,low-income
Tanzania,2007,410,low-income
Togo,2007,410,low-income
Uganda,2007,330,low-income
Zimbabwe,2007,420,low-income
Afghanistan,2008,360,low-income
Bangladesh,2008,560,low-income
Benin,2008,670,low-income
Burkina Faso,2008,510,low-income
Burundi,2008,180,low-income
Cambodia,2008,660,low-income
Cen. African Rep.,2008,430,low-income
Chad,2008,530,low-income
Comoros,2008,740,low-income
"Congo, Dem. Rep.",2008,170,low-income
Eritrea,2008,230,low-income
Ethiopia,2008,280,low-income
Gambia,2008,530,low-income
Guinea,2008,320,low-income
Guinea-Bissau,2008,510,low-income
Haiti,2008,620,low-income
Kenya,2008,730,low-income
Kyrgyz Rep.,2008,770,low-income
Liberia,2008,190,low-income
Madagascar,2008,400,low-income
Malawi,2008,290,low-income
Mali,2008,580,low-income
Mozambique,2008,380,low-income
Nepal,2008,440,low-income
Niger,2008,330,low-income
Rwanda,2008,420,low-income
Sierra Leone,2008,420,low-income
Tajikistan,2008,570,low-income
Tanzania,2008,450,low-income
Togo,2008,400,low-income
Uganda,2008,380,low-income
Zimbabwe,2008,330,low-income
Afghanistan,2009,460,low-income
Bangladesh,2009,620,low-income
Benin,2009,710,low-income
Burkina Faso,2009,550,low-income
Burundi,2009,180,low-income
Cambodia,2009,690,low-income
Cen. African Rep.,2009,460,low-income
Chad,2009,630,low-income
Comoros,2009,800,low-income
"Congo, Dem. Rep.",2009,100,low-income
Eritrea,2009,270,low-income
Ethiopia,2009,340,low-income
Gambia,2009,570,low-income
Guinea,2009,350,low-income
Guinea-Bissau,2009,540,low-income
Haiti,2009,680,low-income
Kenya,2009,780,low-income
Kyrgyz Rep.,2009,860,low-income
Liberia,2009,240,low-income
Madagascar,2009,410,low-income
Malawi,2009,320,low-income
Mali,2009,620,low-income
Mozambique,2009,420,low-income
Nepal,2009,490,low-income
Niger,2009,340,low-income
Rwanda,2009,470,low-income
Sierra Leone,2009,440,low-income
Tajikistan,2009,650,low-income
Tanzania,2009,500,low-income
Togo,2009,450,low-income
Uganda,2009,400,low-income
Zimbabwe,2009,380,low-income
Afghanistan,2010,510,low-income
Bangladesh,2010,690,low-income
Benin,2010,710,low-income
Burkina Faso,2010,600,low-income
Burundi,2010,200,low-income
Cambodia,2010,740,low-income
Cen. African Rep.,2010,470,low-income
Chad,2010,680,low-income
Comoros,2010,810,low-income
"Congo, Dem. Rep.",2010,190,low-income
Eritrea,2010,310,low-income
Ethiopia,2010,370,low-income
Gambia,2010,580,low-income
Guinea,2010,360,low-income
Guinea-Bissau,2010,540,low-income
Haiti,2010,650,low-income
Kenya,2010,800,low-income
Kyrgyz Rep.,2010,840,low-income
Liberia,2010,270,low-income
Madagascar,2010,420,low-income
Malawi,2010,340,low-income
Mali,2010,660,low-income
Mozambique,2010,430,low-income
Nepal,2010,540,low-income
Niger,2010,320,low-income
Rwanda,2010,510,low-income
Sierra Leone,2010,450,low-income
Tajikistan,2010,730,low-income
Tanzania,2010,530,low-income
Togo,2010,460,low-income
Uganda,2010,460,low-income
Zimbabwe,2010,460,low-income
South Sudan,2010,940,low-income
Afghanistan,2011,570,low-income
Bangladesh,2011,770,low-income
Benin,2011,720,low-income
Burkina Faso,2011,620,low-income
Burundi,2011,220,low-income
Cambodia,2011,800,low-income
Cen. African Rep.,2011,480,low-income
Chad,2011,690,low-income
Comoros,2011,830,low-income
"Congo, Dem. Rep.",2011,200,low-income
Eritrea,2011,390,low-income
Ethiopia,2011,380,low-income
Gambia,2011,510,low-income
Guinea,2011,400,low-income
Guinea-Bissau,2011,570,low-income
Haiti,2011,700,low-income
Kenya,2011,810,low-income
Kyrgyz Rep.,2011,900,low-income
Liberia,2011,330,low-income
Madagascar,2011,420,low-income
Malawi,2011,360,low-income
Mali,2011,670,low-income
Mozambique,2011,450,low-income
Nepal,2011,610,low-income
Niger,2011,330,low-income
Rwanda,2011,560,low-income
Sierra Leone,2011,480,low-income
Tajikistan,2011,780,low-income
Tanzania,2011,540,low-income
Togo,2011,470,low-income
Uganda,2011,470,low-income
Zimbabwe,2011,590,low-income
South Sudan,2011,1210,low-income
Afghanistan,2012,570,low-income
Bangladesh,2012,840,low-income
Benin,2012,750,low-income
Burkina Faso,2012,670,low-income
Burundi,2012,240,low-income
Cambodia,2012,880,low-income
Cen. African Rep.,2012,490,low-income
Chad,2012,740,low-income
Comoros,2012,840,low-income
"Congo, Dem. Rep.",2012,220,low-income
Eritrea,2012,450,low-income
Ethiopia,2012,410,low-income
Gambia,2012,510,low-income
Guinea,2012,460,low-income
Guinea-Bissau,2012,550,low-income
Haiti,2012,760,low-income
Kenya,2012,840,low-income
Kyrgyz Rep.,2012,990,low-income
Liberia,2012,370,low-income
Madagascar,2012,430,low-income
Malawi,2012,320,low-income
Mali,2012,660,low-income
Mozambique,2012,510,low-income
Nepal,2012,700,low-income
Niger,2012,370,low-income
Rwanda,2012,590.6504518,low-income
Sierra Leone,2012,580,low-income
Tajikistan,2012,860,low-income
Tanzania,2012,570,low-income
Togo,2012,500,low-income
Uganda,2012,440,low-income
Zimbabwe,2012,680,low-income
South Sudan,2012,650,low-income
